Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Age;Spent;Children;Family_Size;Is_Parent
2;49638.0;0;1;71;18;10;3;3;5;0;1;1;0;3;2;69;39;1;2;1
1;72635.0;0;0;54;390;22;323;104;35;107;1;6;8;6;3;66;981;0;2;0
3;69098.0;0;0;82;1315;22;780;145;0;178;1;7;8;9;5;72;2440;0;2;0
1;7500.0;1;0;63;10;17;18;8;26;40;4;3;2;2;9;29;119;1;2;1
2;15033.0;0;0;37;0;4;5;6;0;4;1;1;0;3;3;70;19;0;1;0
3;70643.0;0;0;66;1218;107;304;23;143;33;1;5;8;4;6;37;1828;0;2;0
3;57288.0;0;1;27;527;0;21;0;0;60;3;8;1;8;6;58;608;1;3;1
2;32300.0;1;0;1;13;3;6;6;5;6;1;1;0;3;8;48;39;1;3;1
3;33581.0;2;0;38;11;0;5;0;0;1;1;1;0;2;8;52;17;2;4;1
3;64866.0;0;1;9;508;5;21;7;5;10;4;7;3;7;5;71;556;1;2;1
1;20491.0;0;0;16;5;4;5;4;2;10;1;0;1;2;7;35;30;0;2;0
2;82224.0;0;0;83;307;26;360;138;31;40;1;6;9;5;3;57;902;0;2;0
2;77226.0;0;1;29;631;43;239;128;76;21;2;6;8;12;3;58;1138;1;3;1
2;61416.0;0;0;25;848;154;323;201;61;78;1;10;3;10;6;39;1665;0;2;0
1;17256.0;1;0;10;6;4;14;8;8;22;2;2;1;2;8;29;62;1;3;1
2;27421.0;0;0;14;43;12;96;78;40;55;3;4;1;6;7;67;324;0;1;0
2;69930.0;0;0;21;252;98;827;219;70;196;1;4;5;12;3;50;1662;0;2;0
1;25130.0;1;0;10;2;5;7;0;18;18;2;2;0;3;7;41;50;1;3;1
2;33279.0;0;0;29;10;3;3;0;0;0;1;0;0;3;3;55;16;0;1;0
2;36790.0;0;0;14;3;3;14;15;21;10;1;2;1;2;9;38;66;0;2;0
2;49096.0;1;1;15;144;1;32;2;1;7;4;4;1;4;7;57;187;2;4;1
2;70647.0;0;1;65;561;85;171;25;123;114;2;4;7;13;2;54;1079;1;2;1
2;30631.0;1;0;75;15;6;20;4;5;20;1;3;1;2;7;47;70;1;3;1
3;31535.0;1;0;95;15;4;13;0;0;19;1;1;1;2;7;41;51;1;3;1
2;51766.0;1;0;74;60;51;87;6;20;51;2;4;2;4;5;41;275;1;2;1
1;26887.0;0;1;27;6;7;4;3;4;6;1;1;0;3;6;62;30;1;3;1
3;60033.0;0;1;28;62;1;57;19;11;48;2;2;1;5;2;67;198;1;3;1
2;29604.0;1;0;88;7;6;13;7;6;14;1;1;0;3;9;33;53;1;3;1
2;53858.0;0;1;50;407;53;221;58;150;26;4;4;3;6;4;45;915;1;3;1
3;43795.0;0;1;11;314;11;53;4;3;107;3;7;3;4;7;53;492;1;3;1
2;64961.0;0;1;97;382;114;276;75;124;38;2;6;4;4;3;63;1009;1;3;1
2;33697.0;1;0;34;4;3;7;0;3;11;1;1;0;2;7;51;28;1;2;1
