Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Age;Spent;Children;Family_Size;Is_Parent
2;50725.0;0;1;45;443;10;75;0;10;48;4;8;1;8;8;68;586;1;3;1
3;29187.0;1;0;43;26;0;6;0;0;2;1;1;0;3;8;53;34;1;3;1
3;82072.0;0;0;67;889;55;685;168;92;129;1;3;2;13;1;51;2018;0;2;0
3;27100.0;1;0;64;12;0;13;2;0;10;1;1;0;3;7;38;37;1;3;1
1;46772.0;0;1;88;350;104;189;197;151;57;6;11;8;5;8;46;1048;1;3;1
2;101970.0;0;0;69;722;27;102;44;72;168;0;6;8;13;2;38;1135;0;1;0
2;34350.0;1;0;81;16;3;15;2;1;11;1;1;0;3;7;42;48;1;3;1
2;38872.0;1;0;93;23;3;21;3;19;22;2;3;0;3;8;33;91;1;3;1
3;23748.0;1;0;97;6;6;29;12;15;8;3;2;1;3;8;53;76;1;2;1
2;53034.0;1;1;30;160;15;196;15;11;50;8;6;1;7;8;47;447;2;3;1
2;40689.0;0;1;69;270;3;27;39;6;99;7;7;1;5;8;70;444;1;3;1
2;17649.0;1;0;70;15;1;23;0;5;1;3;3;0;3;8;45;45;1;3;1
2;39146.0;1;0;1;94;1;33;13;12;12;3;4;0;4;8;35;165;1;2;1
1;19789.0;1;0;24;2;5;9;28;6;28;3;2;1;3;5;46;78;1;3;1
2;61250.0;0;1;49;382;138;65;60;26;59;6;5;2;12;5;62;730;1;2;1
3;53367.0;1;1;2;229;7;140;10;3;11;7;5;1;8;7;47;400;2;3;1
1;52513.0;0;0;84;367;17;241;104;188;232;2;9;5;9;7;43;1149;0;2;0
3;31160.0;1;0;59;16;3;25;6;1;13;2;2;0;3;8;46;64;1;2;1
3;56551.0;1;1;48;67;4;32;17;2;16;3;2;1;4;4;71;138;2;3;1
2;21846.0;1;0;38;7;17;18;6;10;26;4;4;0;3;8;35;84;1;2;1
1;35684.0;1;0;66;10;4;7;0;6;3;1;1;0;3;6;37;30;1;3;1
3;51411.0;1;2;81;14;0;3;0;0;1;1;0;0;3;5;68;18;3;4;1
3;78093.0;0;0;53;368;32;639;13;43;10;1;4;7;5;1;74;1105;0;2;0
2;54591.0;0;1;63;376;4;94;12;9;24;3;6;2;8;5;72;519;1;3;1
2;72099.0;0;0;18;546;91;410;119;0;22;1;3;4;10;1;47;1188;0;2;0
3;36230.0;1;0;17;14;2;30;8;2;3;1;2;0;4;5;50;59;1;2;1
2;55761.0;0;1;97;136;1;12;0;3;32;2;4;1;3;6;57;184;1;3;1
1;63855.0;0;0;28;359;35;314;93;116;89;1;7;3;13;4;43;1006;0;2;0
2;56046.0;0;0;9;577;0;64;0;0;51;2;10;1;8;8;56;692;0;2;0
2;29760.0;1;0;87;64;4;68;7;5;17;4;3;1;4;8;36;165;1;2;1
2;52332.0;0;0;63;212;5;33;7;0;2;1;3;2;6;4;62;259;0;1;0
1;20130.0;0;0;99;0;6;3;7;6;12;1;1;0;3;8;47;34;0;2;0
2;79529.0;0;0;1;423;42;706;73;197;197;1;4;8;9;2;35;1638;0;2;0
3;40344.0;0;1;48;210;0;6;0;0;2;2;4;1;5;7;47;218;1;3;1
2;33378.0;1;1;38;33;6;40;3;7;10;3;2;0;4;7;58;99;2;3;1
2;37150.0;1;0;80;167;37;64;49;34;116;8;4;3;6;7;50;467;1;3;1
1;85485.0;0;0;73;630;26;611;44;18;54;1;6;6;6;2;63;1383;0;1;0
3;44325.0;0;1;69;516;0;21;0;0;5;4;8;2;7;8;49;542;1;3;1
3;44511.0;1;0;39;513;7;133;46;14;14;6;8;4;8;8;51;727;1;3;1
2;90765.0;0;0;25;547;99;812;151;82;33;0;4;6;5;1;51;1724;0;2;0
2;52852.0;0;1;93;714;8;99;11;0;47;4;10;7;5;8;64;879;1;3;1
3;44319.0;1;1;18;26;0;8;0;0;3;2;2;0;3;5;46;37;2;4;1
3;52569.0;0;1;54;85;0;3;0;0;7;1;2;0;4;3;54;95;1;2;1
1;12393.0;0;0;38;5;6;15;11;7;13;1;2;0;3;9;43;57;0;2;0
2;46734.0;0;1;40;110;5;137;26;23;29;2;6;1;5;7;67;330;1;3;1
1;16248.0;1;0;77;12;11;10;3;12;9;3;2;1;3;6;33;57;1;3;1
2;61416.0;0;0;25;848;154;323;201;61;78;1;10;3;10;6;39;1665;0;2;0
3;79930.0;0;0;72;792;86;740;67;51;17;1;3;5;8;2;49;1753;0;2;0
3;35860.0;1;1;37;15;0;8;4;2;20;2;1;1;2;5;48;49;2;3;1
2;71367.0;0;0;24;227;23;389;42;21;75;1;4;5;7;2;62;777;0;2;0
3;59235.0;1;0;4;448;40;469;80;0;91;3;11;2;12;7;54;1128;1;2;1
3;54880.0;1;0;57;308;85;137;102;45;118;2;6;2;11;5;43;795;1;2;1
2;28691.0;1;0;56;5;4;13;8;0;4;1;1;0;3;8;32;34;1;3;1
2;18351.0;0;0;1;1;12;9;0;14;7;1;2;0;3;7;31;43;0;2;0
