Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Age;Spent;Children;Family_Size;Is_Parent
2;53977.0;0;1;21;620;16;165;0;24;82;5;5;5;12;5;63;907;1;3;1
3;30843.0;1;1;43;24;0;2;0;0;9;2;1;1;2;5;55;35;2;4;1
2;71855.0;0;1;59;548;31;422;0;112;28;4;5;5;11;3;44;1141;1;3;1
2;50664.0;1;1;64;313;8;104;6;4;126;9;8;1;6;9;62;561;2;3;1
3;30523.0;2;1;0;5;0;3;0;0;5;1;1;0;2;7;63;13;3;4;1
3;102160.0;0;0;54;763;29;138;76;176;58;0;7;9;10;4;44;1240;0;2;0
2;18929.0;0;0;15;32;0;8;23;4;18;1;1;0;4;6;31;85;0;2;0
2;37040.0;0;0;41;86;2;73;69;38;48;1;4;2;5;8;39;316;0;2;0
2;37292.0;1;0;32;275;0;86;10;23;66;5;6;3;5;8;38;460;1;3;1
3;51717.0;0;1;55;98;1;17;0;1;5;1;3;0;4;7;56;122;1;3;1
3;95169.0;0;0;1;1285;21;449;106;20;20;1;4;3;4;1;34;1901;0;1;0
2;81205.0;0;0;43;724;74;929;97;55;130;1;5;6;7;2;51;2009;0;2;0
2;39062.0;1;0;28;23;0;9;0;0;12;1;1;0;3;4;38;44;1;2;1
3;41020.0;0;0;68;112;1;54;7;7;36;1;3;2;4;3;34;217;0;1;0
2;34026.0;1;1;11;18;6;15;12;8;17;3;2;1;3;5;71;76;2;4;1
3;28973.0;0;0;59;206;0;46;3;2;12;2;5;1;5;8;44;269;0;2;0
3;42000.0;0;0;23;124;83;267;85;59;35;2;5;2;11;5;34;653;0;1;0
1;72635.0;0;0;54;390;22;323;104;35;107;1;6;8;6;3;66;981;0;2;0
3;69805.0;0;1;50;750;71;174;13;10;20;2;6;8;11;2;69;1038;1;3;1
3;21888.0;1;0;15;88;10;46;2;3;64;4;5;1;2;10;35;213;1;2;1
3;46734.0;1;2;86;100;1;39;6;1;76;4;3;2;3;6;55;223;3;4;1
1;42607.0;0;1;30;156;29;56;30;32;47;2;3;2;7;3;67;350;1;2;1
2;22804.0;1;0;75;14;1;7;2;1;1;1;2;0;2;9;50;26;1;2;1
2;58401.0;0;1;55;10;0;11;17;29;29;1;1;2;2;4;61;96;1;2;1
2;62307.0;0;1;94;87;13;34;10;6;10;1;4;0;4;5;69;160;1;2;1
3;70356.0;0;0;20;1349;16;249;43;16;33;2;10;6;9;6;76;1706;0;2;0
3;44602.0;1;1;35;167;2;89;0;0;34;6;6;1;4;8;52;292;2;4;1
3;45072.0;1;2;74;144;2;99;7;2;30;5;6;1;4;8;73;284;3;4;1
3;36802.0;1;0;23;16;1;2;0;0;1;1;1;0;3;5;41;20;1;2;1
3;73059.0;0;1;36;410;112;420;0;82;71;1;9;3;13;4;74;1095;1;3;1
1;66664.0;0;0;78;398;96;447;220;96;32;1;5;7;6;3;39;1289;0;2;0
2;15345.0;1;0;51;5;2;16;3;2;19;2;1;1;2;8;37;47;1;3;1
2;23272.0;0;0;29;19;3;6;4;2;12;1;1;0;3;4;68;46;0;1;0
2;44393.0;1;1;86;24;2;20;2;2;10;2;1;0;4;4;56;60;2;4;1
2;53187.0;1;0;66;211;2;30;7;7;10;2;4;1;6;5;51;267;1;3;1
2;34968.0;1;0;11;158;6;45;8;2;2;7;3;2;5;7;41;221;1;3;1
3;81698.0;0;0;4;179;28;520;111;123;47;1;3;8;13;1;72;1008;0;2;0
2;48686.0;1;2;8;10;0;7;2;0;1;1;1;0;2;8;68;20;3;5;1
2;52914.0;0;1;32;254;10;44;30;10;227;2;7;3;3;7;50;575;1;3;1
2;49638.0;0;1;71;18;10;3;3;5;0;1;1;0;3;2;69;39;1;2;1
3;52278.0;0;1;24;953;0;71;0;0;174;6;10;5;10;8;58;1198;1;2;1
3;67381.0;0;1;67;815;8;53;11;0;70;4;2;2;9;7;70;957;1;3;1
2;45989.0;0;1;97;138;33;87;28;24;12;4;3;2;7;3;57;322;1;2;1
2;25293.0;1;0;51;15;0;11;0;2;9;1;1;1;2;8;52;37;1;3;1
2;18929.0;0;0;15;32;0;8;23;4;18;1;1;0;4;6;31;85;0;2;0
2;53201.0;1;1;49;280;7;81;20;0;27;8;6;3;5;7;46;415;2;3;1
1;31086.0;1;1;79;16;2;11;3;0;16;2;1;1;2;8;42;48;2;4;1
3;37760.0;1;0;54;26;3;13;2;10;0;1;2;0;3;6;49;54;1;2;1
3;78789.0;0;0;12;667;50;850;21;83;83;1;4;6;5;2;41;1754;0;1;0
1;36301.0;1;0;53;11;12;35;3;5;12;1;3;0;3;7;45;78;1;3;1
1;27733.0;1;0;16;0;7;5;26;2;17;2;2;0;3;7;40;57;1;3;1
3;92491.0;0;0;71;979;44;935;29;25;22;1;7;5;12;3;38;2034;0;2;0
3;44051.0;1;1;20;79;7;58;6;3;18;4;3;1;4;6;48;171;2;3;1
2;83844.0;0;0;57;901;31;345;75;31;191;1;4;4;11;1;69;1574;0;2;0
2;54178.0;0;1;79;135;9;39;4;0;7;1;2;2;5;2;54;194;1;3;1
2;44359.0;1;1;19;20;0;14;7;3;1;3;2;0;4;3;43;45;2;4;1
3;56129.0;0;1;65;320;48;133;39;72;48;4;6;2;10;4;68;660;1;3;1
3;69882.0;0;0;94;292;127;635;132;127;165;1;3;7;9;1;56;1478;0;1;0
1;65706.0;0;0;77;918;10;129;13;0;129;1;11;3;12;7;51;1199;0;1;0
3;74165.0;0;0;9;1001;12;240;16;12;12;1;5;4;10;2;46;1293;0;1;0
2;67131.0;0;1;72;465;71;250;93;35;62;3;9;2;12;6;65;976;1;3;1
2;29315.0;1;1;55;13;2;14;8;7;4;4;2;0;4;6;61;48;2;4;1
2;61839.0;0;0;20;1000;155;379;224;17;120;1;4;8;4;8;57;1895;0;1;0
2;63033.0;0;0;82;194;61;480;225;112;30;1;3;4;8;2;62;1102;0;1;0
3;38725.0;1;1;52;31;0;6;2;1;5;2;1;0;4;4;66;45;2;4;1
2;82582.0;0;0;54;510;120;550;156;40;241;1;4;9;7;1;44;1617;0;1;0
3;75032.0;0;1;74;952;12;180;47;12;12;2;5;4;9;3;62;1215;1;3;1
3;82800.0;0;0;23;1006;22;115;59;68;45;1;7;6;12;3;75;1315;0;1;0
3;76045.0;0;0;78;760;53;400;17;93;0;1;4;5;11;2;61;1323;0;1;0
2;31454.0;1;1;40;28;0;11;0;0;9;3;2;0;3;8;61;48;2;4;1
1;13724.0;1;0;43;2;7;5;2;15;27;1;2;0;2;9;33;58;1;3;1
2;74293.0;0;0;66;375;152;335;93;91;81;1;5;4;6;2;28;1127;0;1;0
1;7500.0;1;0;7;2;8;11;3;8;21;4;3;2;2;7;42;53;1;3;1
3;66426.0;0;1;14;1043;24;97;32;24;157;2;3;5;10;6;60;1377;1;3;1
1;47823.0;0;1;0;53;1;5;2;1;10;2;2;0;3;8;61;72;1;2;1
3;24401.0;0;0;98;73;28;217;10;24;115;3;6;1;6;8;42;467;0;2;0
2;24434.0;2;0;9;3;2;8;20;0;17;2;2;1;2;7;49;50;2;4;1
2;68142.0;0;1;96;897;126;196;91;112;37;3;10;4;7;6;57;1459;1;3;1
3;42670.0;0;0;12;154;2;46;20;4;15;1;4;2;4;4;29;241;0;2;0
3;58656.0;0;1;25;962;12;194;16;24;12;4;7;8;13;6;65;1220;1;3;1
2;30093.0;0;0;19;2;6;28;13;4;16;1;2;0;3;7;31;69;0;2;0
2;56253.0;0;1;83;509;0;65;7;11;5;4;7;2;9;6;58;597;1;3;1
2;54252.0;1;1;25;178;4;26;8;4;44;5;4;1;5;6;65;264;2;3;1
3;47353.0;0;1;93;184;2;19;8;8;4;3;2;2;6;5;61;225;1;3;1
3;75012.0;0;0;41;294;142;218;164;58;151;1;3;8;11;1;45;1027;0;1;0
3;54237.0;0;1;48;267;3;30;4;0;57;4;5;2;5;6;64;361;1;2;1
3;33569.0;1;0;10;16;2;18;3;0;24;1;1;1;2;8;38;63;1;3;1
2;79593.0;0;0;70;350;60;568;110;133;145;1;5;6;7;2;48;1366;0;2;0
