Education;Income;Kidhome;Teenhome;Recency;Wines;Fruits;Meat;Fish;Sweets;Gold;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;Age;Spent;Children;Family_Size;Is_Parent
2;34824.0;0;0;65;4;2;11;2;0;4;1;1;0;2;6;26;23;0;1;0
2;58116.0;0;1;38;228;19;130;4;11;51;2;3;3;8;2;65;443;1;3;1
3;59354.0;0;2;59;295;21;78;39;13;13;1;4;4;7;3;68;459;2;4;1
3;61787.0;0;0;71;621;73;414;78;48;85;1;8;4;6;5;34;1319;0;1;0
2;66653.0;1;1;18;452;18;102;16;18;6;4;4;2;12;3;46;612;2;4;1
3;24401.0;0;0;98;73;28;217;10;24;115;3;6;1;6;8;42;467;0;2;0
2;92910.0;0;0;42;551;137;792;179;103;33;1;6;7;13;1;35;1795;0;2;0
3;49154.0;1;1;69;206;10;67;30;27;71;6;4;1;8;6;61;411;2;4;1
2;74985.0;0;0;8;587;51;898;247;0;86;1;3;6;7;2;44;1869;0;2;0
2;67131.0;0;1;72;465;71;250;93;35;62;3;9;2;12;6;65;976;1;3;1
3;50353.0;0;0;72;141;15;153;67;31;35;1;4;4;6;3;44;442;0;2;0
1;82347.0;0;0;38;556;54;845;202;133;63;1;7;7;10;3;64;1853;0;2;0
2;51537.0;0;1;27;787;20;204;0;0;92;3;2;2;11;8;69;1103;1;2;1
3;38097.0;1;1;70;77;2;35;0;1;69;4;3;2;2;7;51;184;2;4;1
3;65526.0;0;1;22;397;19;69;12;0;9;1;4;4;8;2;57;506;1;3;1
2;40464.0;0;1;78;424;17;118;7;23;41;6;8;2;8;8;68;630;1;2;1
2;30372.0;1;1;33;15;0;12;7;3;7;3;2;0;3;7;50;44;2;3;1
3;45207.0;1;1;64;203;0;10;0;0;2;5;3;1;6;6;47;215;2;4;1
3;31686.0;1;1;31;11;0;5;0;0;1;2;1;0;3;6;57;17;2;4;1
2;36130.0;0;1;46;157;43;127;68;56;37;6;3;8;4;4;67;488;1;2;1
3;70123.0;0;0;27;1308;0;396;23;0;0;1;5;7;4;3;38;1727;0;2;0
1;59060.0;1;0;77;35;40;111;36;40;12;3;3;1;7;4;32;274;1;3;1
2;44529.0;0;1;98;538;13;91;17;6;26;6;6;2;11;5;55;691;1;3;1
3;56067.0;0;1;51;517;12;54;16;6;120;2;7;4;7;5;59;725;1;3;1
3;77610.0;0;1;70;1245;33;332;21;33;16;2;4;7;4;7;69;1680;1;3;1
2;68281.0;0;0;31;995;112;417;42;48;41;1;2;9;13;5;63;1655;0;1;0
3;58217.0;2;1;84;68;1;13;3;5;13;1;2;0;4;6;70;103;3;4;1
1;39548.0;1;1;87;15;4;10;3;4;18;2;1;1;3;3;58;54;2;3;1
2;74485.0;0;0;58;499;149;815;173;49;49;1;6;7;12;3;74;1734;0;2;0
2;25721.0;1;0;75;1;3;6;3;6;15;1;1;1;2;7;50;34;1;3;1
3;42835.0;1;1;64;379;4;93;12;9;98;7;6;6;4;6;50;595;2;3;1
2;40321.0;1;1;59;44;4;21;6;0;27;2;3;0;3;7;49;102;2;4;1
1;54210.0;0;1;18;70;54;109;80;9;45;2;4;1;7;5;42;367;1;3;1
2;61825.0;0;1;56;162;50;100;55;30;27;1;4;2;8;4;42;424;1;2;1
3;44602.0;1;1;35;167;2;89;0;0;34;6;6;1;4;8;52;292;2;4;1
3;37334.0;1;1;44;26;1;16;2;2;15;4;3;0;4;4;63;62;2;4;1
2;83512.0;0;0;31;1060;61;835;80;20;101;1;4;7;10;1;35;2157;0;2;0
2;39771.0;1;0;92;6;2;18;2;8;14;1;2;0;3;4;44;50;1;3;1
2;41883.0;1;0;13;32;34;41;73;16;116;3;4;2;3;7;33;312;1;3;1
